,ID,run,img_pair,choice,side,outcome,matched,RT,a_learnedprob_correct,b_learnedprob_correct,c_learnedprob_correct,d_learnedprob_correct,e_learnedprob_correct,f_learnedprob_correct,reinforcer_response
0,57,run01,AB,Miss,Miss,Miss,Miss,Miss,,,,,,,
1,57,run01,CD,Miss,Miss,Miss,Miss,Miss,,,,,,,
2,57,run01,EF,F,1,reward,mismatched,1.581737,,,,,0.0,1.0,
3,57,run01,CD,D,2,punish,matched,1.596686,,,1.0,0.0,,,miss_response
4,57,run01,EF,E,1,punish,mismatched,1.595317,,,,,0.0,1.0,explore_reward
5,57,run01,AB,A,1,reward,matched,1.609849,1.0,0.0,,,,,miss_response
6,57,run01,CD,C,2,punish,mismatched,1.608568,,,0.5,0.5,,,exploit_punish
7,57,run01,AB,A,2,reward,matched,1.606928,1.0,0.0,,,,,exploit_reward
8,57,run01,CD,D,2,punish,matched,1.621556,,,0.6666666666666666,0.33333333333333337,,,exploit_punish
9,57,run01,CD,C,1,punish,mismatched,1.619131,,,0.5,0.5,,,exploit_punish
10,57,run01,AB,B,1,reward,mismatched,1.618930,0.6666666666666666,0.33333333333333337,,,,,explore_reward
11,57,run01,CD,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
12,57,run01,AB,A,1,reward,matched,1.615310,0.75,0.25,,,,,explore_reward
13,57,run01,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
14,57,run01,EF,E,1,punish,mismatched,1.611855,,,,,0.0,1.0,miss_response
15,57,run01,EF,E,1,punish,mismatched,1.610117,,,,,0.0,1.0,explore_punish
16,57,run01,AB,A,1,reward,matched,1.576074,0.8,0.19999999999999996,,,,,exploit_reward
17,57,run01,EF,E,2,reward,matched,1.606554,,,,,0.2,0.8,explore_punish
18,57,run01,CD,D,1,reward,mismatched,1.587692,,,0.4,0.6,,,miss_response
19,57,run01,AB,A,2,reward,matched,1.586688,0.8333333333333334,0.16666666666666663,,,,,exploit_reward
20,57,run01,EF,F,2,punish,matched,1.601225,,,,,0.3333333333333333,0.6666666666666667,explore_reward
21,57,run01,CD,C,1,reward,matched,1.616585,,,0.5,0.5,,,explore_reward
22,57,run01,CD,D,1,punish,matched,1.598964,,,0.5714285714285714,0.4285714285714286,,,explore_reward
23,57,run01,AB,A,2,reward,matched,1.613559,0.8571428571428571,0.1428571428571429,,,,,exploit_reward
24,57,run01,CD,C,1,reward,matched,1.593838,,,0.625,0.375,,,exploit_punish
25,57,run01,AB,B,2,punish,matched,1.609474,0.875,0.125,,,,,explore_reward
26,57,run02,CD,C,1,reward,matched,1.567912,,,0.6666666666666666,0.33333333333333337,,,exploit_reward
27,57,run02,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
28,57,run02,EF,F,1,reward,mismatched,1.600242,,,,,0.2857142857142857,0.7142857142857143,miss_response
29,57,run02,CD,C,1,reward,matched,1.613961,,,0.7,0.30000000000000004,,,exploit_reward
