,ID,run,img_pair,choice,side,outcome,matched,RT,a_learnedprob_correct,b_learnedprob_correct,c_learnedprob_correct,d_learnedprob_correct,e_learnedprob_correct,f_learnedprob_correct,reinforcer_response
0,62,run01,AB,A,1,reward,matched,1.569877,1.0,,,,,,
1,62,run01,EF,F,2,punish,matched,1.583246,,,,,1.0,,
2,62,run01,EF,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
3,62,run01,CD,D,2,punish,matched,1.596773,,,1.0,,,,
4,62,run01,EF,F,1,punish,matched,1.577678,,,,,1.0,,miss_response
5,62,run01,EF,F,2,punish,matched,1.594569,,,,,1.0,,explore_punish
6,62,run01,CD,D,1,punish,matched,1.608480,,,1.0,,,,explore_punish
7,62,run01,EF,F,1,reward,mismatched,1.590659,,,,,,0.25,explore_punish
8,62,run01,AB,B,2,punish,matched,1.589384,1.0,,,,,,explore_reward
9,62,run01,EF,E,1,reward,matched,1.586750,,,,,0.8,,explore_reward
10,62,run01,CD,C,2,punish,mismatched,1.602450,,,,0.3333333333333333,,,exploit_punish
11,62,run01,AB,A,1,reward,matched,1.582998,1.0,,,,,,exploit_punish
12,62,run01,EF,F,2,reward,mismatched,1.599920,,,,,,0.3333333333333333,explore_reward
13,62,run01,AB,A,2,reward,matched,1.579495,1.0,,,,,,exploit_reward
14,62,run01,AB,B,2,punish,matched,1.595781,1.0,,,,,,explore_reward
15,62,run01,CD,D,2,punish,matched,1.593090,,,0.75,,,,exploit_punish
16,62,run01,CD,C,1,reward,matched,1.608658,,,0.8,,,,exploit_punish
17,62,run01,CD,D,1,reward,mismatched,1.590765,,,,0.3333333333333333,,,explore_reward
18,62,run01,EF,E,2,reward,matched,1.587581,,,,,0.7142857142857143,,explore_reward
19,62,run01,AB,A,1,reward,matched,1.586877,1.0,,,,,,exploit_punish
20,62,run01,AB,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
21,62,run01,CD,C,1,punish,mismatched,1.617068,,,,0.42857142857142855,,,explore_reward
22,62,run01,EF,E,2,punish,mismatched,1.582209,,,,,,0.375,exploit_reward
23,62,run01,AB,B,1,punish,matched,1.597159,1.0,,,,,,miss_response
24,62,run01,AB,A,2,reward,matched,1.577850,1.0,,,,,,exploit_punish
25,62,run01,EF,F,1,reward,mismatched,1.592445,,,,,,0.4444444444444444,exploit_punish
26,62,run02,CD,D,1,punish,matched,1.567819,,,0.625,,,,exploit_punish
27,62,run02,AB,A,1,reward,matched,1.598843,1.0,,,,,,exploit_reward
28,62,run02,CD,C,1,reward,matched,1.581771,,,0.6666666666666666,,,,exploit_punish
29,62,run02,EF,F,2,reward,mismatched,1.580215,,,,,,0.5,exploit_reward
30,62,run02,CD,C,2,reward,matched,1.595471,,,0.7,,,,exploit_reward
31,62,run02,EF,F,2,punish,matched,1.575951,,,,,0.5454545454545454,,exploit_reward
32,62,run02,CD,C,2,reward,matched,1.573515,,,0.7272727272727273,,,,exploit_reward
33,62,run02,EF,E,1,punish,mismatched,1.605685,,,,,,0.5,exploit_punish
34,62,run02,CD,C,1,reward,matched,1.587178,,,0.75,,,,exploit_reward
35,62,run02,EF,E,2,punish,mismatched,1.585958,,,,,,0.5384615384615384,explore_punish
36,62,run02,EF,E,1,punish,mismatched,1.600191,,,,,,0.5714285714285714,explore_punish
37,62,run02,EF,E,1,punish,mismatched,1.582815,,,,,,0.6,explore_punish
38,62,run02,EF,E,1,punish,mismatched,1.596451,,,,,,0.625,explore_punish
39,62,run02,EF,F,1,reward,mismatched,1.578670,,,,,,0.6470588235294118,exploit_punish
40,62,run02,EF,F,1,punish,matched,1.595232,,,,,0.3888888888888889,,exploit_reward
41,62,run02,CD,C,1,reward,matched,1.592590,,,0.7692307692307693,,,,exploit_reward
42,62,run02,EF,F,1,reward,mismatched,1.590999,,,,,,0.631578947368421,explore_punish
43,62,run02,AB,B,1,punish,matched,1.605196,1.0,,,,,,explore_reward
44,62,run02,EF,E,2,reward,matched,1.605165,,,,,0.4,,explore_reward
45,62,run02,AB,B,1,reward,mismatched,1.584630,,0.09090909090909091,,,,,explore_punish
46,62,run02,CD,C,1,reward,matched,1.583321,,,0.7857142857142857,,,,exploit_reward
47,62,run02,CD,C,2,punish,mismatched,1.581793,,,,0.26666666666666666,,,exploit_reward
