index	ID	run	img_pair	choice	side	outcome	matched	rt		high_rewards	low_reward	high_accuracy	total			
3	2	run01	AB	B	1	punish	matched	1.600153		1	0	1	1			
4	2	run01	AB	Miss	Miss	Miss	Miss	Miss								
10	2	run01	AB	A	1	reward	matched	1.591829		1	0	1	2			
12	2	run01	AB	B	1	punish	matched	1.607049		1		1	3			
16	2	run01	AB	B	2	reward	mismatched	1.604076			1	0.75	4			
22	2	run01	AB	Miss	Miss	Miss	Miss	Miss								
23	2	run01	AB	A	1	reward	matched	1.597161		1		0.2	5			
24	2	run01	AB	B	1	punish	matched	1.5962		1		0.833333333	6			
29	2	run02	AB	A	2	reward	matched	1.599609		1		0.428571429	7			
37	2	run02	AB	B	1	reward	mismatched	1.607016			1	0.75	8			
48	2	run02	AB	A	1	reward	matched	1.596044		1		0.444444444	9			
49	2	run02	AB	A	2	reward	matched	1.59527		1		0.5	10			
50	2	run02	AB	A	2	reward	matched	1.610877		1		0.545454545	11			
51	2	run02	AB	B	1	reward	mismatched	1.594156			1	0.75	12			
57	2	run03	AB	A	2	punish	mismatched	1.615017			1	0.461538462	13			
58	2	run03	AB	A	1	reward	matched	1.613953		1		0.357142857	14			
60	2	run03	AB	B	1	punish	matched	1.611921		1		0.666666667	15			
61	2	run03	AB	A	2	reward	matched	1.594346		1		0.375	16			
64	2	run03	AB	A	2	reward	matched	1.590952		1		0.411764706	17			
67	2	run03	AB	A	1	punish	mismatched	1.588232			1	0.444444444	18			
68	2	run03	AB	B	2	punish	matched	1.586935		1		0.578947368	19			
73	2	run03	AB	B	2	punish	matched	1.598581		1		0.6	20			
74	2	run03	AB	B	1	punish	matched	1.613971		1		0.619047619	21			
76	2	run03	AB	B	1	punish	matched	1.595727		1		0.636363636	22			
77	2	run03	AB	B	2	reward	mismatched	1.576657			1	0.739130435	23			
87	2	run04	AB	B	1	reward	mismatched	1.594817			1	0.708333333	24			
92	2	run04	AB	B	2	punish	matched	1.605959		1		0.6	25			
96	2	run04	AB	B	1	punish	matched	1.612851		1		0.615384615	26			
102	2	run04	AB	B	2	punish	matched	1.606314		1		0.62962963	27			
8	2	run01	CD	C	2	punish	mismatched	1.611129			1		1			
9	2	run01	CD	Miss	Miss	Miss	Miss	Miss								
13	2	run01	CD	D	2	punish	matched	1.607055		1			2			
17	2	run01	CD	D	1	punish	matched	1.619657		1			3			
18	2	run01	CD	C	1	punish	mismatched	1.602077			1		4			
19	2	run01	CD	C	2	reward	matched	1.600088		1			5			
25	2	run01	CD	D	1	reward	mismatched	1.612055			1		6			
26	2	run01	CD	C	1	punish	mismatched	1.576426			1		7			
31	2	run02	CD	C	2	reward	matched	1.598019		1			8			
33	2	run02	CD	C	1	punish	mismatched	1.612379			1		9			
36	2	run02	CD	Miss	Miss	Miss	Miss	Miss								
