,ID,run,img_pair,choice,side,outcome,matched,RT,a_learnedprob_correct,b_learnedprob_correct,c_learnedprob_correct,d_learnedprob_correct,e_learnedprob_correct,f_learnedprob_correct,reinforcer_response
0,82,run01,AB,Miss,Miss,Miss,Miss,Miss,,,,,,,
1,82,run01,AB,B,2,punish,matched,1.600106,1.0,,,,,,miss_response
2,82,run01,CD,C,1,reward,matched,1.598753,,,1.0,,,,
3,82,run01,EF,E,1,punish,mismatched,1.596792,,,,,,1.0,
4,82,run01,CD,C,2,punish,mismatched,1.594367,,,,0.5,,,exploit_reward
5,82,run01,AB,B,2,punish,matched,1.593970,1.0,,,,,,explore_punish
6,82,run01,EF,E,1,punish,mismatched,1.574831,,,,,,1.0,explore_punish
7,82,run01,AB,B,2,reward,mismatched,1.589466,,0.3333333333333333,,,,,explore_punish
8,82,run01,CD,C,2,reward,matched,1.588580,,,0.6666666666666666,,,,explore_punish
9,82,run01,CD,C,1,reward,matched,1.585717,,,0.75,,,,exploit_reward
10,82,run01,EF,F,2,punish,matched,1.585979,,,,,0.3333333333333333,,exploit_punish
11,82,run01,CD,C,2,reward,matched,1.599595,,,0.8,,,,exploit_reward
12,82,run01,CD,C,1,punish,mismatched,1.581936,,,,0.3333333333333333,,,exploit_reward
13,82,run01,CD,D,2,reward,mismatched,1.596388,,,,0.42857142857142855,,,exploit_punish
14,82,run01,EF,E,1,punish,mismatched,1.579018,,,,,,0.75,exploit_punish
15,82,run01,EF,F,2,punish,matched,1.593051,,,,,0.4,,exploit_punish
16,82,run01,EF,F,2,punish,matched,1.592182,,,,,0.5,,explore_punish
17,82,run01,CD,D,1,punish,matched,1.590758,,,0.625,,,,exploit_reward
18,82,run01,EF,E,1,punish,mismatched,1.604232,,,,,,0.5714285714285714,exploit_punish
19,82,run01,CD,C,2,reward,matched,1.603706,,,0.6666666666666666,,,,exploit_punish
20,82,run01,CD,D,2,punish,matched,1.601174,,,0.7,,,,explore_reward
21,82,run01,AB,B,1,punish,matched,1.583841,0.75,,,,,,exploit_reward
22,82,run01,EF,E,2,reward,matched,1.615625,,,,,0.5,,explore_punish
23,82,run01,AB,B,1,punish,matched,1.597211,0.8,,,,,,explore_punish
24,82,run01,AB,B,1,punish,matched,1.611079,0.8333333333333334,,,,,,explore_punish
25,82,run01,EF,F,1,reward,mismatched,1.593606,,,,,,0.5555555555555556,explore_reward
26,82,run02,CD,D,1,punish,matched,1.578951,,,0.7272727272727273,,,,explore_punish
