87	run01	CD	Miss	Miss	Miss	Miss	Miss
87	run01	CD	Miss	Miss	Miss	Miss	Miss
87	run01	EF	E	2	reward	matched	1.565587
87	run01	EF	E	1	reward	matched	1.580130
87	run01	AB	A	2	reward	matched	1.594352
87	run01	CD	C	1	punish	mismatched	1.594013
87	run01	EF	F	1	reward	mismatched	1.575119
87	run01	CD	C	2	reward	matched	1.572722
87	run01	CD	C	2	punish	mismatched	1.588600
87	run01	AB	A	1	reward	matched	1.585585
87	run01	CD	D	1	punish	matched	1.602373
87	run01	EF	F	2	reward	mismatched	1.582853
87	run01	EF	F	1	punish	matched	1.598887
87	run01	CD	C	2	punish	mismatched	1.579449
87	run01	EF	E	2	reward	matched	1.612443
87	run01	CD	D	2	reward	mismatched	1.592894
87	run01	EF	E	2	reward	matched	1.592179
87	run01	CD	D	2	reward	mismatched	1.573868
87	run01	EF	E	1	reward	matched	1.587466
87	run01	CD	D	2	punish	matched	1.569668
87	run01	CD	D	1	punish	matched	1.601095
87	run01	EF	E	2	reward	matched	1.583765
87	run01	CD	C	1	reward	matched	1.599144
87	run01	AB	B	1	reward	mismatched	1.597050
87	run01	EF	E	2	punish	mismatched	1.577952
87	run01	CD	C	1	reward	matched	1.575670
87	run02	EF	E	1	punish	mismatched	1.585057
87	run02	CD	D	2	reward	mismatched	1.598991
87	run02	CD	D	1	punish	matched	1.598492
87	run02	AB	A	1	punish	mismatched	1.596876
87	run02	AB	A	2	reward	matched	1.578841
87	run02	CD	C	1	reward	matched	1.575879
87	run02	CD	C	2	reward	matched	1.573676
87	run02	CD	C	2	reward	matched	1.589061
87	run02	AB	B	1	punish	matched	1.587061
87	run02	CD	D	2	punish	matched	1.586164
87	run02	EF	F	1	punish	matched	1.601161
87	run02	AB	A	1	reward	matched	1.583531
87	run02	AB	A	2	punish	mismatched	1.596735
87	run02	EF	F	1	punish	matched	1.596540
87	run02	CD	C	2	punish	mismatched	1.594970
87	run02	EF	F	2	punish	matched	1.575638
87	run02	EF	F	1	punish	matched	1.607772
87	run02	CD	D	2	reward	mismatched	1.589958
87	run02	AB	B	1	punish	matched	1.587866
87	run02	EF	E	1	punish	mismatched	1.567857
87	run02	AB	A	1	punish	mismatched	1.600136
87	run02	EF	Miss	Miss	Miss	Miss	Miss
87	run02	EF	F	1	punish	matched	1.580035
87	run02	CD	C	2	reward	matched	1.594392
87	run02	CD	D	1	punish	matched	1.592957
87	run02	AB	A	1	punish	mismatched	1.574229
87	run03	AB	B	1	reward	mismatched	1.584816
87	run03	AB	B	2	punish	matched	1.583737
87	run03	AB	A	2	reward	matched	1.580972
87	run03	AB	A	2	reward	matched	1.579280
87	run03	CD	D	1	reward	mismatched	1.595675
87	run03	CD	C	2	reward	matched	1.594211
87	run03	CD	D	2	reward	mismatched	1.591093
87	run03	CD	D	1	punish	matched	1.572825
87	run03	EF	E	1	reward	matched	1.572468
87	run03	EF	E	2	reward	matched	1.587454
87	run03	AB	A	2	reward	matched	1.585316
87	run03	AB	B	1	punish	matched	1.583148
87	run03	EF	F	1	reward	mismatched	1.580378
87	run03	EF	F	2	punish	matched	1.579775
87	run03	CD	C	1	reward	matched	1.594722
87	run03	CD	C	1	punish	mismatched	1.592251
87	run03	EF	E	1	punish	mismatched	1.591693
87	run03	AB	B	2	reward	mismatched	1.573174
87	run03	AB	B	1	punish	matched	1.570849
87	run03	EF	E	2	punish	mismatched	1.584974
87	run03	EF	E	1	reward	matched	1.584977
87	run03	CD	D	2	punish	matched	1.565900
87	run03	CD	D	2	punish	matched	1.579947
87	run03	EF	E	2	reward	matched	1.578017
87	run03	EF	F	2	reward	mismatched	1.576518
87	run03	CD	D	1	punish	matched	1.591065
87	run04	CD	C	2	punish	mismatched	1.551434
87	run04	CD	D	1	punish	matched	1.598957
87	run04	EF	F	1	punish	matched	1.581856
87	run04	EF	E	1	punish	mismatched	1.562399
87	run04	CD	C	1	punish	mismatched	1.593281
87	run04	AB	A	1	reward	matched	1.575480
87	run04	AB	A	1	reward	matched	1.574808
87	run04	AB	B	2	reward	mismatched	1.571723
87	run04	AB	B	2	punish	matched	1.586767
87	run04	EF	F	1	punish	matched	1.584904
87	run04	EF	Miss	Miss	Miss	Miss	Miss
87	run04	CD	D	2	reward	mismatched	1.581575
87	run04	CD	C	1	reward	matched	1.579858
87	run04	AB	B	2	punish	matched	1.594549
87	run04	AB	B	2	reward	mismatched	1.576580
87	run04	CD	D	1	reward	mismatched	1.591639
87	run04	AB	A	2	reward	matched	1.591306
87	run04	CD	D	1	punish	matched	1.588302
87	run04	CD	D	1	punish	matched	1.587493
87	run04	AB	A	2	punish	mismatched	1.569054
87	run04	AB	B	1	punish	matched	1.584556
87	run04	CD	D	2	reward	mismatched	1.582364
87	run04	EF	E	1	punish	mismatched	1.580720
87	run04	CD	C	2	punish	mismatched	1.594555
87	run04	CD	C	1	reward	matched	1.576335
87	run04	AB	B	1	punish	matched	1.557655
