trial,ID,run,img_pair,choice,side,outcome,matched,RT,a_learnedprob_correct,b_learnedprob_correct,c_learnedprob_correct,d_learnedprob_correct,e_learnedprob_correct,f_learnedprob_correct,reinforcer_response
0,1,run01,EF,F,1,reward,mismatched,1.569796,,,,,0,1,
1,1,run01,CD,D,2,punish,matched,1.601124,,,1,0,,,
2,1,run01,CD,D,2,punish,matched,1.600702,,,1,0,,,explore_punish
3,1,run01,CD,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
4,1,run01,AB,A,2,reward,matched,1.580793,1,0,,,,,
5,1,run01,AB,B,2,reward,mismatched,1.564219,0.5,0.5,,,,,explore_reward
6,1,run01,AB,B,1,punish,matched,1.612839,0.666666667,0.333333333,,,,,exploit_reward
7,1,run01,CD,D,2,punish,matched,1.594208,,,1,0,,,miss_response
8,1,run01,CD,C,1,reward,matched,1.611155,,,1,0,,,exploit_punish
9,1,run01,AB,A,1,punish,mismatched,1.594223,0.5,0.5,,,,,exploit_punish
10,1,run01,EF,F,2,reward,mismatched,1.593177,,,,,0,1,exploit_reward
11,1,run01,CD,D,2,punish,matched,1.590463,,,1,0,,,explore_reward
12,1,run01,AB,A,2,punish,mismatched,1.590193,0.4,0.6,,,,,explore_punish
13,1,run01,CD,C,1,reward,matched,1.605062,,,1,0,,,exploit_punish
14,1,run01,CD,C,1,reward,matched,1.605347,,,1,0,,,exploit_reward
15,1,run01,AB,A,1,punish,mismatched,1.587054,0.333333333,0.666666667,,,,,explore_punish
16,1,run01,CD,D,1,punish,matched,1.602987,,,1,0,,,explore_reward
17,1,run01,AB,A,1,reward,matched,1.602018,0.428571429,0.571428571,,,,,explore_punish
18,1,run01,AB,B,2,punish,matched,1.600867,0.5,0.5,,,,,explore_reward
19,1,run01,EF,E,2,reward,matched,1.582977,,,,,0.333333333,0.666666667,explore_reward
20,1,run01,AB,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
21,1,run01,AB,A,2,reward,matched,1.61496,0.555555556,0.444444444,,,,,miss_response
22,1,run01,AB,B,1,reward,mismatched,1.580498,0.5,0.5,,,,,explore_reward
23,1,run01,CD,C,2,reward,matched,1.596363,,,1,0,,,exploit_punish
24,1,run01,AB,A,1,reward,matched,1.596714,0.545454545,0.454545455,,,,,explore_reward
25,1,run01,CD,Miss,Miss,Miss,Miss,Miss,,,,,,,miss_response
26,1,run02,EF,F,1,reward,mismatched,1.567948,,,,,0.25,0.75,explore_reward
