,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,63,run02,62.6221,5,CD,C,1,punish,mismatched,1.584384,
1,63,run02,78.6232,5,EF,E,2,reward,matched,1.549256,
2,63,run02,93.625,5,CD,D,1,punish,matched,1.582136,exploit_punish
3,63,run02,107.6267,5,AB,B,1,reward,mismatched,1.613178,
4,63,run02,121.6283,5,CD,D,2,reward,mismatched,1.611574,explore_punish
5,63,run02,136.6135,5,EF,F,2,punish,matched,1.575344,explore_reward
6,63,run02,152.6154,5,EF,F,2,reward,mismatched,1.59027,explore_punish
7,63,run02,166.6336,5,EF,E,1,reward,matched,1.605081,explore_reward
8,63,run02,182.6355,5,CD,D,1,punish,matched,1.620057,exploit_reward
9,63,run02,197.6207,5,AB,A,1,reward,matched,1.602681,explore_reward
10,63,run02,212.6224,5,CD,C,1,punish,mismatched,1.583104,exploit_punish
11,63,run02,227.6242,5,EF,E,2,reward,matched,1.59894,exploit_reward
12,63,run02,240.6257,5,CD,D,2,punish,matched,1.579996,exploit_punish
13,63,run02,254.6272,5,CD,C,1,reward,matched,1.5950600000000001,exploit_punish
14,63,run02,269.6291,5,CD,D,2,punish,matched,1.61091,explore_reward
15,63,run02,285.6311,5,EF,E,2,punish,mismatched,1.609377,exploit_reward
16,63,run02,299.6159,5,EF,E,1,reward,matched,1.574202,explore_punish
17,63,run02,312.6341,5,AB,B,2,punish,matched,1.571516,explore_reward
18,63,run02,327.6192,5,CD,C,2,punish,mismatched,1.5877370000000002,exploit_punish
19,63,run02,342.621,5,EF,E,1,punish,mismatched,1.5845850000000001,exploit_reward
20,63,run02,356.6226,5,CD,C,2,reward,matched,1.616457,explore_punish
21,63,run02,370.6243,5,AB,A,2,punish,mismatched,1.598206,exploit_punish
22,63,run02,386.6261,5,AB,B,1,punish,matched,1.596373,exploit_punish
23,63,run02,402.6279,5,CD,D,2,punish,matched,1.577602,explore_reward
24,63,run02,418.6298,5,AB,B,2,punish,matched,1.575652,explore_punish
25,63,run02,434.6317,5,CD,C,1,reward,matched,1.607143,exploit_punish
