,ID,run,onset,duration,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,40,run02,69.8411,5,CD,D,2,punish,matched,1.568834,
1,40,run02,85.8419,5,EF,E,2,punish,mismatched,1.567351,
2,40,run02,100.8431,5,CD,C,1,punish,mismatched,1.6005459999999998,exploit_punish
3,40,run02,114.8439,5,AB,B,1,punish,matched,1.599122,
4,40,run02,128.8449,5,CD,C,1,punish,mismatched,1.597988,explore_punish
5,40,run02,143.8463,5,AB,A,2,reward,matched,1.595966,exploit_punish
6,40,run02,159.847,5,EF,E,1,reward,matched,1.6114540000000002,explore_punish
7,40,run02,173.848,5,AB,A,1,reward,matched,1.593893,exploit_reward
8,40,run02,189.8496,5,EF,E,1,punish,mismatched,1.593275,exploit_reward
9,40,run02,204.8501,5,AB,A,1,reward,matched,1.5931600000000001,exploit_reward
10,40,run02,219.8511,5,CD,C,1,reward,matched,1.591098,explore_punish
11,40,run02,234.8359,5,CD,D,2,punish,matched,1.59087,explore_reward
12,40,run02,247.8363,5,AB,A,1,reward,matched,1.605721,exploit_reward
13,40,run02,261.8541,5,EF,E,2,punish,mismatched,1.589069,explore_punish
14,40,run02,276.8555,5,AB,B,2,punish,matched,1.587897,explore_reward
15,40,run02,292.8561,5,AB,B,1,punish,matched,1.604147,explore_punish
16,40,run02,306.8403,5,CD,C,2,reward,matched,1.602524,exploit_punish
17,40,run02,319.8413,5,AB,B,1,punish,matched,1.5841,explore_punish
18,40,run02,334.8428,5,AB,B,2,reward,mismatched,1.60103,explore_punish
19,40,run02,349.86,5,EF,E,2,punish,mismatched,1.598592,explore_punish
20,40,run02,363.8443,5,AB,A,2,reward,matched,1.58091,explore_reward
21,40,run02,377.8453,5,AB,B,2,punish,matched,1.59762,explore_reward
22,40,run02,393.8469,5,EF,F,1,punish,matched,1.597237,exploit_punish
23,40,run02,409.8475,5,AB,A,2,punish,mismatched,1.59503,exploit_punish
24,40,run02,425.8487,5,AB,A,1,reward,matched,1.576598,explore_punish
25,40,run02,441.8502,5,CD,C,1,reward,matched,1.575547,exploit_reward
