,percent_matched,,,percent_matched
1,0.694736842,,1,0.695
2,0.686868687,,2,0.687
3,0.737864078,,3,0.738
4,0.693069307,,4,0.693
5,0.697916667,,5,0.698
6,0.774509804,,6,0.775
7,0.652631579,,7,0.653
8,0.673684211,,8,0.674
9,0.67032967,,9,0.67
10,0.764705882,,10,0.765
11,0.693069307,,11,0.693
12,0.714285714,,12,0.714
13,0.747572816,,13,0.748
14,0.633663366,,14,0.634
15,0.737864078,,15,0.738
16,0.663043478,,16,0.663
17,0.626262626,,17,0.626
18,0.803921569,,18,0.804
19,0.617647059,,19,0.618
20,0.745098039,,20,0.745
21,0.744444444,,21,0.744
22,0.724489796,,22,0.724
23,0.744680851,,24,0.646
24,0.646153846,,25,0.703
25,0.702970297,,26,0.708
26,0.708333333,,27,0.697
27,0.696969697,,28,0.713
28,0.712871287,,29,0.739
29,0.739130435,,30,0.69
30,0.69047619,,31,0.722
31,0.721649485,,32,0.634
32,0.633663366,,33,0.73
33,0.73,,34,0.73
34,0.73,,35,0.681
35,0.680851064,,36,0.747
36,0.747368421,,37,0.735
37,0.735294118,,38,0.757
38,0.757281553,,39,0.759
39,0.75862069,,40,0.739
40,0.739130435,,41,0.696
41,0.696078431,,42,0.775
42,0.774509804,,43,0.726
43,0.726315789,,44,0.74
44,0.74,,45,0.697
45,0.696969697,,46,0.711
46,0.711111111,,47,0.816
47,0.815533981,,48,0.699
48,0.699029126,,50,0.641
49,0.725806452,,51,0.725
50,0.640776699,,52,0.644
51,0.725490196,,53,0.663
52,0.643678161,,54,0.673
53,0.663043478,,55,0.7
54,0.673076923,,56,0.733
55,0.7,,57,0.663
56,0.732673267,,58,0.732
57,0.663265306,,59,0.667
58,0.731958763,,60,0.687
59,0.666666667,,61,0.772
60,0.686868687,,62,0.663
61,0.772277228,,63,0.699
62,0.663366337,,64,0.735
63,0.699029126,,66,0.644
64,0.735294118,,67,0.688
65,0.75,,68,0.624
66,0.643564356,,69,0.62
67,0.688311688,,70,0.747
68,0.623762376,,71,0.76
69,0.619565217,,72,0.68
70,0.747474747,,73,0.724
71,0.760416667,,74,0.72
72,0.680412371,,75,0.742
73,0.724489796,,76,0.698
74,0.72,,77,0.745
75,0.742268041,,78,0.683
76,0.697916667,,79,0.707
77,0.745098039,,80,0.78
78,0.683168317,,82,0.676
79,0.707070707,,83,0.653
80,0.78,,84,0.706
81,0.656565657,,85,0.647
82,0.676470588,,86,0.66
83,0.653465347,,87,0.62
84,0.705882353,,89,0.686
85,0.647058824,,90,0.656
86,0.66,,,
87,0.62,,,
88,0.688172043,,,
89,0.68627451,,,
90,0.65625,,,
